name,content,time,url,
"上海交通大学生物大分子结构解析平台国际公开招标公告","
                　　上海市机械设备成套（集团）有限公司受上海交通大学委托，根据《中华人民共和国政府采购法》等有关规定，现对上海交通大学生物大分子结构解析平台进行公开招标，欢迎合格的供应商前来投标。 项目名称：上海交通大学生物大分子结构解析平台项目编号：1639-184211210355/7项目联系方式：项目联系人：刘老师项目联系电话：86-21-54744366  采购单位联系方式：采购单位：上海交通大学  地址：上海市东川路800号联系方式：刘老师  86-21-54744366 代理机构联系方式：代理机构：上海市机械设备成套（集团）有限公司代理机构联系人： 张洁玮 陈永亮  86-21-32557775;86-21-32557719代理机构地址： 上海市长寿路285号恒达广场16楼    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  									序号/ No.									货物名称/			Name of the goods									数量/Quantity									简要技术规格			/Main Technical Data									 交货期			/ Delivery schedule													1									生物大分子结构解析平台									1套									用于冷冻电镜、X射线晶体衍射数据的处理、计算、存储及后续结构模型的计算分析。									合同签订后3个月内。/CIF Shanghai within three months after signing the contact.						 二、投标人的资格要求：1)投标人在中华人民共和国境内外注册且具有独立的法人资格，能提供上述产品及相应服务的代理商或生产厂家；1) the bidder registered within the territory of the People's Republic of China and has independent legal person qualification, can provide the products and corresponding service agents or manufacturers; 2)必须提供所投产品的生产商针对本次招标项目出具的独家授权书；2) must provide the cast product exclusive authorization letter issued by the producer for the project subject to tender; 3)具有招标文件中所需设备的供货和售后服务的能力；3) with the supply of equipment required in the tender documents and the ability to after-sales service;4）参加本次招标活动前3年内，投标人在经营活动中没有违法记录，无利用不正当竞争手段骗取中标，无行贿犯罪记录；4）To participate in the bidding activities before three years, the bidder does not break the record in business activities, no using to defraud the bidding by means of unfair competition, no bribery crime record;5) 预算金额：120万元人民币。预算包含设备交付使用前的一切相关费用，投标单位的投标报价须充分考虑包括设备本身费用以及相伴随的外贸进口等费用,同时须充分考虑汇率波动风险等可能导致超预算的因素）。5）Project budget contains all the costs associated with the equipment before delivery, the tenderer's tender offer shall give full consideration to include the device itself cost and accompanied by the foreign trade import cost, at the same time, must fully consider the risk of currency fluctuations and other factors may lead to over budget. 三、招标文件的发售时间及地点等：预算金额：120.0 万元（人民币）时间：2018年10月29日 09:00 至 2018年11月05日 16:00(双休日及法定节假日除外)地点：上海市长寿路285号恒达广场16楼招标文件售价：￥500.0 元，本公告包含的招标文件售价总和招标文件获取方式：U盘 四、投标截止时间：2018年11月20日 10:30五、开标时间：2018年11月20日 10:30六、开标地点：上海市东川路800号新行政楼719室 七、其它补充事宜按商务部的《机电产品国际招标投标实施办法（试行）》等相关规定 校内编号/No：招(设)[2018][A]074号 八、采购项目需要落实的政府采购政策： 按商务部的《机电产品国际招标投标实施办法（试行）》等相关规定                        
            ","2018年10月27日 22:18","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181027_10981618.htm",
"北京师范大学消煮炉/高效液相色谱-原子荧光仪采购项目公开招标公告","
                　　新华招标有限公司受北京师范大学委托，根据《中华人民共和国政府采购法》等有关规定，现对北京师范大学消煮炉/高效液相色谱-原子荧光仪采购项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：北京师范大学消煮炉/高效液相色谱-原子荧光仪采购项目项目编号：XHTC-HW-2018-0808项目联系方式：项目联系人：叶子青、马女士项目联系电话：010-63905968、010-63905965  采购单位联系方式：采购单位：北京师范大学  地址：北京市海淀区新街口外大街19号联系方式：李老师  010-58801683 代理机构联系方式：代理机构：新华招标有限公司代理机构联系人：叶子青010-63905968、马女士 010-63905965代理机构地址： 北京市海淀区莲花池东路39号西金大厦8层809室    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  北京师范大学消煮炉/高效液相色谱-原子荧光仪采购项目									名称									简要规格描述或项目基本概况介绍									数量									用途									预算金额			（万元）									是否接受进口产品													消解炉/高效液相色谱原子荧光仪													元素总量检测下限：						As: 1-2 ppt; Sb: 1-2 ppt; Se: 1-2 ppt;			Hg: 0.1 ppt; Bi: 1-2 ppt; Te: 1-2 ppt.			其余详见采购需求。									1台									用于测量颗粒物痕量及超痕量的氢化发生元素及其价态分析									61									是						 二、投标人的资格要求：1）在中华人民共和国境内注册的、具有独立承担民事责任的能力的供应商；2）具有良好的商业信誉和健全的财务会计制度；3）具有履行合同所必需的设备和专业技术能力；4）有依法缴纳税收和社会保障资金的良好记录；5）近三年内，在经营活动中没有重大违法记录；6）本项目不接受联合体投标；7）单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得同时参加本项目的投标；8）为本项目提供整体设计、规范编制或者项目管理、监理、检测等服务的供应商，不得参加本项目的投标；9）通过“信用中国”网站（www.creditchina.gov.cn）和中国政府采购网（www.ccgp.gov.cn）查询信用记录（截止时间点为投标截止时间），被列入失信被执行人、重大税收违法案件当事人名单或政府采购严重违法失信行为记录名单的供应商，没有资格参加本项目的采购活动；10）法律、行政法规规定的其他条件。 三、招标文件的发售时间及地点等：预算金额：61.0 万元（人民币）时间：2018年10月27日 09:00 至 2018年11月02日 16:00(双休日及法定节假日除外)地点：北京市海淀区莲花池东路39号西金大厦11层新华招标有限公司招标文件售价：￥200.0 元，本公告包含的招标文件售价总和招标文件获取方式：需携带有效的法人或者其他组织的营业执照等证明文件/自然人的身份证明（复印件加盖公章）、法人授权书原件及被授权人身份证复印件加盖公章。文件售后不退。如果通过邮寄方式购买文件，另加50元邮寄费，请投标人按如下代理机构地址和账号汇款，并同时将汇款底单传真至代理机构。未向代理机构购买招标文件并登记备案的潜在投标人均无资格参加投标。 四、投标截止时间：2018年11月16日 14:00五、开标时间：2018年11月16日 14:00六、开标地点：北京市新街口外大街19号北京师范大学财经处109会议室 七、其它补充事宜本公告在中国政府采购网（http://www.ccgp.gov.cn）发布。公告期限：自本公告发布之日起5个工作日新华招标有限公司地  址：北京市海淀区莲花池东路39号西金大厦8层809室邮  编：100036E-mail: yzq@xhtc.com.cn电   话：010-63905999传   真：010-63905988联系人：叶子青（分机5968）购买招标文件及投标保证金请按如下地址办款：户  名：新华招标有限公司开户行：招商银行北京海淀支行账  号：110902295610703 八、采购项目需要落实的政府采购政策： 节约能源、保护环境、扶持不发达地区和少数民族地区、促进中小企业发展、支持监狱企业发展、促进残疾人就业、完善中央高校科研仪器设备采购管理等。                        
            ","2018年10月26日 21:27","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979392.htm",
"北京师范大学全自动干湿采样器设备采购项目公开招标公告","
                　　新华招标有限公司受北京师范大学委托，根据《中华人民共和国政府采购法》等有关规定，现对北京师范大学全自动干湿采样器设备采购项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：北京师范大学全自动干湿采样器设备采购项目项目编号：XHTC-HW-2018-0807项目联系方式：项目联系人：叶子青、马女士项目联系电话：010-63905968、010-63905965  采购单位联系方式：采购单位：北京师范大学  地址：北京市海淀区新街口外大街19号联系方式：李老师  010-58801683 代理机构联系方式：代理机构：新华招标有限公司代理机构联系人：叶子青010-63905968、马女士 010-63905965代理机构地址： 北京市海淀区莲花池东路39号西金大厦8层809室    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  采购项目的名称：北京师范大学全自动干湿采样器设备采购项目									名称									简要规格描述或项目基本概况介绍									数量									用途									预算金额			（万元）									是否接受进口产品													全自动干湿采样器									  降水开始后，降水传感器发出脉冲信号，开启漏斗收集样品。打开漏斗，盖子外移至干沉降收集器，向两侧水平转动然后下降，这样可防止空气气动力干扰采样过程。漏斗中收集到的降水流入一个环形漏斗再通过一根软管流入旋转头，旋转头通过排水管和硅胶软管与每个硬聚乙烯样品瓶连接。当降水停止，降水传感器和一个可调加热部件发出信号，马达驱动关闭收集漏斗，盖子从干沉降器移至漏斗。在收集器底部安装了自动冷却除霜装置。通过板式蒸发通风冷却装置，可保证高温环境下冷却温度保持在4°C (波动范围±2°C)。其余详见采购需求。									1台									用于教学									57									是						 二、投标人的资格要求：1）在中华人民共和国境内注册的、具有独立承担民事责任的能力的供应商；2）具有良好的商业信誉和健全的财务会计制度；3）具有履行合同所必需的设备和专业技术能力；4）有依法缴纳税收和社会保障资金的良好记录；5）近三年内，在经营活动中没有重大违法记录；6）本项目不接受联合体投标；7）单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得同时参加本项目的投标；8）为本项目提供整体设计、规范编制或者项目管理、监理、检测等服务的供应商，不得参加本项目的投标；9）通过“信用中国”网站（www.creditchina.gov.cn）和中国政府采购网（www.ccgp.gov.cn）查询信用记录（截止时间点为投标截止时间），被列入失信被执行人、重大税收违法案件当事人名单或政府采购严重违法失信行为记录名单的供应商，没有资格参加本项目的采购活动；10）法律、行政法规规定的其他条件。 三、招标文件的发售时间及地点等：预算金额：57.0 万元（人民币）时间：2018年10月27日 09:00 至 2018年11月02日 16:00(双休日及法定节假日除外)地点：北京市海淀区莲花池东路39号西金大厦11层新华招标有限公司招标文件售价：￥200.0 元，本公告包含的招标文件售价总和招标文件获取方式：需携带有效的法人或者其他组织的营业执照等证明文件/自然人的身份证明（复印件加盖公章）、法人授权书原件及被授权人身份证复印件加盖公章。文件售后不退。如果通过邮寄方式购买文件，另加50元邮寄费，请投标人按如下代理机构地址和账号汇款，并同时将汇款底单传真至代理机构。未向代理机构购买招标文件并登记备案的潜在投标人均无资格参加投标。 四、投标截止时间：2018年11月16日 14:00五、开标时间：2018年11月16日 14:00六、开标地点：北京市新街口外大街19号北京师范大学财经处109会议室 七、其它补充事宜本公告在中国政府采购网（http://www.ccgp.gov.cn）发布。公告期限：自本公告发布之日起5个工作日新华招标有限公司地  址：北京市海淀区莲花池东路39号西金大厦8层809室邮  编：100036E-mail: yzq@xhtc.com.cn电   话：010-63905999传   真：010-63905988联系人：叶子青（分机5968）购买招标文件及投标保证金请按如下地址办款：户  名：新华招标有限公司开户行：招商银行北京海淀支行     账  号：110902295610703 八、采购项目需要落实的政府采购政策： 节约能源、保护环境、扶持不发达地区和少数民族地区、促进中小企业发展、支持监狱企业发展、促进残疾人就业、完善中央高校科研仪器设备采购管理等。                        
            ","2018年10月26日 21:23","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979382.htm",
"国家税务总局2018年国家税务总局网站升级完善项目公开招标公告","
                　　根据《中华人民共和国政府采购法》等有关规定，现对2018年国家税务总局网站升级完善项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：2018年国家税务总局网站升级完善项目项目编号：2018CGSC052项目联系方式：项目联系人：周彬、王德香项目联系电话：010-61986733/61989733    采购单位联系方式：采购单位：国家税务总局  地址：北京市海淀区羊坊店西路5号联系方式：010-61986733/61989733     一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  根据业务技术需求，对税务总局网站进行升级完善，工作内容包括：成品软件升级服务、应用系统升级完善、互联网网站IPv6升级改造、安全技术服务和运维技术服务，项目服务期为自合同生效之日起至项目验收合格止。 二、投标人的资格要求：本项目拟由符合国家有关法律法规规定、同时满足本项目资质要求、在中国境内（指关境内）注册的合格供应商为投标人。投标人必须具备《政府采购法》第二十二条的规定：（1）具有独立承担民事责任的能力；（2）具有良好的商业信誉和健全的财务会计制度；（3）具有履行合同所必需的设备和专业技术能力；（4）有依法缴纳税收和社会保障资金的良好记录；（5）参加政府采购活动前三年内，在经营活动中没有重大违法记录；（6）法律、行政法规规定的其他条件。符合和满足本项目其他要求和资质条件。本项目不接受联合体投标。 三、招标文件的发售时间及地点等：预算金额：328.74 万元（人民币）时间：2018年10月29日 08:30 至 2018年11月05日 16:30(双休日及法定节假日除外)地点：北京市西城区枣林前街68号732室招标文件售价：￥0.0 元，本公告包含的招标文件售价总和招标文件获取方式：意欲参加本项目的潜在投标人必须按要求到上述地点登记备案后，自带U盘免费获取招标文件，未登记备案的没有资格参与投标。登记备案时，投标人必须提交法人或者其他组织的营业执照等证明文件(复印件加盖公章)，不接受未登记备案投标人的投标。 四、投标截止时间：2018年11月21日 09:30五、开标时间：2018年11月21日 09:30六、开标地点：北京市西城区枣林前街68号768会议室  七、其它补充事宜招标公告期限为自本公告发布之日起5个工作日  八、采购项目需要落实的政府采购政策： 1、鼓励开展信用担保。2、促进中小企业发展。3、促进残疾人就业。                           4、支持监狱企业发展。                        
            ","2018年10月26日 19:45","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979228.htm",
"国家税务总局高清视频会议系统维保项目公开招标公告","
                　　根据《中华人民共和国政府采购法》等有关规定，现对高清视频会议系统维保项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：高清视频会议系统维保项目项目编号：2018CGSC041项目联系方式：项目联系人：王德香项目联系电话：010-61989733   采购单位联系方式：采购单位：国家税务总局  地址：北京市海淀区羊坊店西路5号联系方式：010-61989733    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  为税务总局高清视频会议系统设备采购维保等相关服务，主要包括故障设备维修与更换、会议现场保障、驻场运维支持、系统性能调优、软件版本升级、技术咨询与培训、定期巡检以及突发事件应急等。服务期为2019年3月1日至2022年2月28日。 二、投标人的资格要求：本项目由符合国家有关法律法规规定、同时满足本项目资质要求、在中国境内（指关境内）注册的合格供应商为投标人。投标人必须具备《政府采购法》第二十二条的规定：（1）具有独立承担民事责任的能力；（2）具有良好的商业信誉和健全的财务会计制度；（3）具有履行合同所必需的设备和专业技术能力；（4）有依法缴纳税收和社会保障资金的良好记录；（5）参加政府采购活动前三年内，在经营活动中没有重大违法记录；（6）法律、行政法规规定的其他条件。符合和满足本项目其他要求和资质条件。本项目不接受联合体投标。 三、招标文件的发售时间及地点等：预算金额：216.0 万元（人民币）时间：2018年10月26日 08:30 至 2018年11月02日 16:30(双休日及法定节假日除外)地点：北京市西城区枣林前街68号732室招标文件售价：￥0.0 元，本公告包含的招标文件售价总和招标文件获取方式：意欲参加本项目的潜在投标人必须按要求到上述地点登记备案后，自带U盘免费获取招标文件，未登记备案的没有资格参与投标。登记备案时，投标人必须提交法人或者其他组织的营业执照等证明文件(复印件加盖公章)，不接受未登记备案投标人的投标。 四、投标截止时间：2018年11月29日 09:30五、开标时间：2018年11月29日 09:30六、开标地点：北京市西城区枣林前街68号768会议室  七、其它补充事宜招标公告期限为自本公告发布之日起5个工作日 八、采购项目需要落实的政府采购政策： 1、鼓励开展信用担保。2、促进中小企业发展。3、促进残疾人就业。4、支持监狱企业发展。                        
            ","2018年10月26日 19:39","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979204.htm",
"国家税务总局税务骨干网维保服务项目公开招标公告","
                　　根据《中华人民共和国政府采购法》等有关规定，现对税务骨干网维保服务项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：税务骨干网维保服务项目项目编号：2018CGSC049项目联系方式：项目联系人：孙立波项目联系电话：010-61986732   采购单位联系方式：采购单位：国家税务总局  地址：北京市海淀区羊坊店西路5号联系方式：010-61986732    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  为部署在国家税务总局及各省税务局的骨干网网络设备提供维护保养、技术支持，包括故障设备维修、板卡升级扩容、驻场运维支持、系统性能调优、软件版本升级、技术咨询与培训、定期巡检等服务。服务期为2019年3月1日至2022年2月28日。 二、投标人的资格要求：本项目由符合国家有关法律法规规定、同时满足本项目资质要求、在中国境内（指关境内）注册的合格供应商为投标人。投标人必须具备《政府采购法》第二十二条的规定：（1）具有独立承担民事责任的能力；（2）具有良好的商业信誉和健全的财务会计制度；（3）具有履行合同所必需的设备和专业技术能力；（4）有依法缴纳税收和社会保障资金的良好记录；（5）参加政府采购活动前三年内，在经营活动中没有重大违法记录；（6）法律、行政法规规定的其他条件。符合和满足本项目其他要求和资质条件。本项目不接受联合体投标。 三、招标文件的发售时间及地点等：预算金额：900.0 万元（人民币）时间：2018年10月26日 08:30 至 2018年11月02日 16:30(双休日及法定节假日除外)地点：北京市西城区枣林前街68号732室招标文件售价：￥0.0 元，本公告包含的招标文件售价总和招标文件获取方式：意欲参加本项目的潜在投标人必须按要求到上述地点登记备案后，自带U盘免费获取招标文件，未登记备案的没有资格参与投标。登记备案时，投标人必须提交法人或者其他组织的营业执照等证明文件(复印件加盖公章)，不接受未登记备案投标人的投标。 四、投标截止时间：2018年11月27日 09:30五、开标时间：2018年11月27日 09:30六、开标地点：北京市西城区枣林前街68号768会议室  七、其它补充事宜招标公告期限为自本公告发布之日起5个工作日 八、采购项目需要落实的政府采购政策： 1、鼓励开展信用担保。2、促进中小企业发展。3、促进残疾人就业。4、支持监狱企业发展。                        
            ","2018年10月26日 19:35","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979202.htm",
"国家税务总局异地协作平台升级完善项目公开招标公告","
                　　根据《中华人民共和国政府采购法》等有关规定，现对异地协作平台升级完善项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：异地协作平台升级完善项目项目编号：2018CGSC050项目联系方式：项目联系人：孙立波项目联系电话：010-61986732   采购单位联系方式：采购单位：国家税务总局  地址：北京市海淀区羊坊店西路5号联系方式：010-61986732    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  主要是对协查信息管理系统进行优化，规范函件和相关数据的管理、优化业务流程，同时加强平台的安全管理。具体包括系统功能的设计、开发、测试、试运行、推广实施和服务器设备采购等。服务期自合同生效之日起两年。 二、投标人的资格要求：本项目由符合国家有关法律法规规定、同时满足本项目资质要求、在中国境内（指关境内）注册的合格供应商为投标人。投标人必须具备《政府采购法》第二十二条的规定：（1）具有独立承担民事责任的能力；（2）具有良好的商业信誉和健全的财务会计制度；（3）具有履行合同所必需的设备和专业技术能力；（4）有依法缴纳税收和社会保障资金的良好记录；（5）参加政府采购活动前三年内，在经营活动中没有重大违法记录；（6）法律、行政法规规定的其他条件。符合和满足本项目其他要求和资质条件。本项目不接受联合体投标。 三、招标文件的发售时间及地点等：预算金额：852.24 万元（人民币）时间：2018年10月26日 08:30 至 2018年11月02日 16:30(双休日及法定节假日除外)地点：北京市西城区枣林前街68号732室招标文件售价：￥0.0 元，本公告包含的招标文件售价总和招标文件获取方式：意欲参加本项目的潜在投标人必须按要求到上述地点登记备案后，自带U盘免费获取招标文件，未登记备案的没有资格参与投标。登记备案时，投标人必须提交法人或者其他组织的营业执照等证明文件(复印件加盖公章)，不接受未登记备案投标人的投标。 四、投标截止时间：2018年11月19日 09:30五、开标时间：2018年11月19日 09:30六、开标地点：北京市西城区枣林前街68号768会议室  七、其它补充事宜招标公告期限为自本公告发布之日起5个工作日 八、采购项目需要落实的政府采购政策： 1、鼓励开展信用担保。2、促进中小企业发展。3、促进残疾人就业。4、支持监狱企业发展。                        
            ","2018年10月26日 19:29","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979173.htm",
"国家税务总局机关信息化项目预算评审服务项目公开招标公告","
                　　根据《中华人民共和国政府采购法》等有关规定，现对国家税务总局机关信息化项目预算评审服务项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：国家税务总局机关信息化项目预算评审服务项目项目编号：CGYC2018031项目联系方式：项目联系人：张晓迪  李晓伟项目联系电话：010-61989732   61986731  采购单位联系方式：采购单位：国家税务总局  地址：北京市海淀区羊坊店西路5号联系方式：010-61989732   61986731    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  为进一步加强国家税务总局机关信息化项目建设统筹管理，提高信息化项目立项预算管理质效，拟采购专业服务机构，依据税务总局信息化项目预算评审机制，对税务总局机关纳入预算评审范围的信息化项目开展预算初核和专家评审等工作，服务期为三年。 二、投标人的资格要求：（一）投标人资格条件:本项目由符合国家有关法律法规规定、同时满足本项目资质要求、在中国境内注册的合格供应商参加投标。投标人应具有履行本项目合同所需的技术实力及相关资质，必须具备《政府采购法》第二十二条规定的条件：1.具有独立承担民事责任的能力；2.具有良好的商业信誉和健全的财务会计制度；3.具有履行合同所必需的设备和专业技术能力；4.有依法缴纳税收和社会保障资金的良好记录；5.参加政府采购活动前三年内，在经营活动中没有重大违法记录；6.法律、行政法规规定的其他条件。（二）相关要求：本项目不接受联合体投标。 三、招标文件的发售时间及地点等：预算金额：816.98 万元（人民币）时间：2018年10月29日 09:00 至 2018年11月02日 16:30(双休日及法定节假日除外)地点：北京市西城区枣林前街68号  金税三期数据中心732室招标文件售价：￥0.0 元，本公告包含的招标文件售价总和招标文件获取方式：意欲参加本项目的潜在投标人必须按要求到国家税务总局集中采购中心登记备案后，免费获取招标文件（自带U盘复制），未登记备案的投标人没有资格参加投标。 登记备案时，投标人必须提交法人或者其他组织的营业执照等证明文件（复印件加盖投标人公章）；不接受未登记备案投标人的投标。 四、投标截止时间：2018年11月22日 09:30五、开标时间：2018年11月22日 09:30六、开标地点：北京西城区枣林前街68号  金税三期数据中心768会议室 七、其它补充事宜招标公告期限:自招标公告发布之日起5个工作日。 八、采购项目需要落实的政府采购政策： 1.促进中小企业发展政府采购政策；2.促进残疾人就业政府采购政策。                        
            ","2018年10月26日 19:23","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10979157.htm",
"东北大学2018年第四十九批科研设备采购项目——钢铁冶金虚拟仿真系统采购项目公开招标公告","
                　　辽宁工程招标有限公司受东北大学委托，根据《中华人民共和国政府采购法》等有关规定，现对东北大学2018年第四十九批科研设备采购项目——钢铁冶金虚拟仿真系统采购项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：东北大学2018年第四十九批科研设备采购项目——钢铁冶金虚拟仿真系统采购项目项目编号：LNZB-GJZ2018-622-02/DDWK201849项目联系方式：项目联系人：王勇 徐佳项目联系电话：024-23383567/23384545-802/801  采购单位联系方式：采购单位：东北大学  地址：沈阳市和平区文化路三巷11号联系方式：庄林林  024-83689255 代理机构联系方式：代理机构：辽宁工程招标有限公司代理机构联系人：王勇  徐佳  024-23383567/23384545-802/801代理机构地址： 沈阳市和平区南九马路47号    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  									项目名称									主要需求									数量									采购预算			（万元）													钢铁冶金虚拟仿真系统采购项目									钢铁冶金生产虚拟仿真实训系统要求依托虚拟现实、多媒体、人机交互、数据库和网络通讯等技术，集生产和控制技术于一体，构建高度仿真的虚拟实训环境，实现冶金行业生产工艺操作的实时仿真。时间上达到与现场1:1的匹配，配备真实操作手柄的硬件操作台，完善的生产计划下达与自动评价体系，满足学生生产工艺、安全认知学习及标准化操作培训、能够对生产过程中出现的异常工况的处理进行训练；系统包括：干熄焦生产虚拟仿真系统、球团生产虚拟仿真系统、铁水预处理生产虚拟仿真系统、电炉炼钢生产虚拟仿真系统、VD钢液精炼生产虚拟仿真系统、方坯连铸生产虚拟仿真系统、圆坯连铸生产虚拟仿真系统、中厚板生产虚拟仿真系统、热连轧生产虚拟仿真系统和冷连轧生产虚拟仿真系统共计10个系统模块，能够满足45名学生同时使用。									1套									235						  二、投标人的资格要求：1. 符合《中华人民共和国政府采购法》第二十二条规定应当具备的条件；2. 应自觉抵制政府采购领域商业贿赂行为；3. 未被“信用中国”网站（www.creditchina.gov.cn）、中国政府采购网（http://www.ccgp.gov.cn/cr/list）列入失信被执行人、重大税收违法案件当事人名单、政府采购严重违法失信行为记录名单；4. 本项目不允许联合体投标。 三、招标文件的发售时间及地点等：预算金额：235.0 万元（人民币）时间：2018年10月26日 18:20 至 2018年11月02日 16:00(双休日及法定节假日除外)地点：辽宁工程招标有限公司111房间（沈阳市和平区南九马路47号）招标文件售价：￥500.0 元，本公告包含的招标文件售价总和招标文件获取方式：2018年10月26日起至2018年11月2日，每天9:00—11:30、13:30—16:00（北京时间，节假日除外），到辽宁工程招标有限公司111房间购买招标文件。招标文件售价500元人民币/套，售后不退。如需邮购，邮资到付。 四、投标截止时间：2018年11月16日 09:30五、开标时间：2018年11月16日 09:30六、开标地点：辽宁工程招标有限公司南楼第二会议 七、其它补充事宜投标保证金及交付方式金额：45,000.00元（人民币）；      交付方式：支票、电汇或银行汇票等方式，需从投标人公司账户转出。收款单位：辽宁工程招标有限公司开户银行：农行沈阳和平大街支行账号：06135601040003330汇款摘要：GJZ2018-622招标公告期限2018年10月26日—2018年11月2日 八、采购项目需要落实的政府采购政策： 依据政府采购法及实施条例                        
            ","2018年10月26日 18:22","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10978962.htm",
"外交部政府采购办公室领事信息系统国密算法改造第二阶段项目公开招标公告","
                　　中化国际招标有限责任公司受外交部政府采购办公室委托，根据《中华人民共和国政府采购法》等有关规定，现对领事信息系统国密算法改造第二阶段项目进行公开招标，欢迎合格的供应商前来投标。 项目名称：领事信息系统国密算法改造第二阶段项目项目编号：0747-1861SITCN582项目联系方式：项目联系人：白云鹏项目联系电话：010-59369337  采购单位联系方式：采购单位：外交部政府采购办公室  地址：北京市朝阳区朝阳门南大街2号联系方式：010-65965464 代理机构联系方式：代理机构：中化国际招标有限责任公司代理机构联系人：白云鹏 010-59369337代理机构地址： 北京复兴门外大街A2号中化大厦    一、采购项目的名称、数量、简要规格描述或项目基本概况介绍：  根据总体规划，为继续完成领事信息系统国密算法改造工作，拟即开展第二阶段的建设工作。该阶段主要完成基于国密算法的各类数字证书应用环境的改造工作。该阶段工作完成后，领事信息系统可全面支持国密算法数字证书(USB Key)并能兼容旧数字证书的使用。 二、投标人的资格要求：（1）	满足《中华人民共和国政府采购法》第二十二条要求，包括：？	具有良好的商业信誉和健全的财务会计制度；？	具有履行合同所必须的设备和专业技术能力；？	有依法缴纳税收和社会保障资金的良好记录；？	参加此采购活动前三年内，在经营活动中没有重大违法记录；？	符合法律、法规规定的其他条件。（2）	单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得同时参加本项目采购活动。（3）	为采购项目提供整体设计、规范编制或者项目管理、监理、检测等服务的供应商，不得再参加本采购项目的其他采购活动。（4）	本项目投标截止期前被列入失信被执行人、重大税收违法案件当事人名单、政府采购严重违法失信行为记录名单（处罚期限尚未届满的），不得参与本项目的投标（5）	本项目接受联合体投标。（6）	投标人必须从中化国际招标有限责任公司购买招标文件。 三、招标文件的发售时间及地点等：预算金额：700.0 万元（人民币）时间：2018年10月26日 08:30 至 2018年11月02日 16:30(双休日及法定节假日除外)地点：登录中化招标电子招投标平台（e.sinochemitc.com）通过网上支付方式购买招标文件。潜在投标人需先进行网上注册（免费）。招标文件售价：￥500.0 元，本公告包含的招标文件售价总和招标文件获取方式：网络标书销售：登录中化招标电子招投标平台（e.sinochemitc.com）通过网上支付方式购买招标文件。潜在投标人需先进行网上注册（免费）。支付成功后，可下载招标文件及增值税电子普通发票。 四、投标截止时间：2018年11月27日 09:30五、开标时间：2018年11月27日 09:30六、开标地点：北京复兴门外大街A2号中化大厦21层第一会议室 七、其它补充事宜无 八、采购项目需要落实的政府采购政策： 1、执行《政府采购促进中小企业发展暂行办法》；2、执行《财政部、司法部关于政府采购支持监狱企业发展有关问题的通知》；3、执行《三部门联合发布关于促进残疾人就业政府采购政策的通知》。                        
            ","2018年10月26日 18:11","http://www.ccgp.gov.cn/cggg/zygg/gkzb//201810/t20181026_10978897.htm",
